Item Serving.size Calories Fat.Cal Protein Fat Sat.Fat Trans.fat Chol Sodium Carbs Fiber Sugar Meat Breakfast NotBreakfast CarbsxMeat
Hamburger 109 260 90 13 10 4 0 35 490 28 1 6 1 0 1 28
Cheeseburger 121 300 130 16 14 6 0 45 710 28 1 6 1 0 1 28
DoubleHamburger 146 360 160 22 18 8 0 70 520 28 1 6 1 0 1 28
DoubleCheeseburger 171 450 230 26 26 12 1 95 960 29 1 6 1 0 1 29
BuckDouble 158 410 200 24 22 10 0.5 85 740 28 1 6 1 0 1 28
RodeoCheeseburger 128 350 160 16 17 7 0 45 600 37 2 9 1 0 1 37
BaconCheeseburger 126 330 150 18 16 7 0 55 810 28 1 6 1 0 1 28
DoubleBaconCheeseburger 181 510 270 31 30 14 1 105 1150 29 1 7 1 0 1 29
BKDoubleStacker 173 560 320 30 36 15 1 110 1040 29 1 7 1 0 1 29
BKTripleStacker 227 740 450 43 50 22 1.5 165 1390 30 1 7 1 0 1 30
BKQuadStacker 282 920 570 58 63 28 2 220 1730 31 1 8 1 0 1 31
TripleWhopperwithCheese NA 1230 NA 71 82 32 2 225 1550 53 NA 11 1 0 1 53
Whopper NA 670 NA 28 40 11 1 75 980 51 NA 11 1 0 1 51
WhopperwithCheese NA 710 NA 30 43 14 1 85 1190 52 NA 11 1 0 1 52
DoubleWhopper NA 900 NA 47 57 19 1.5 140 980 51 NA 11 1 0 1 51
DoubleWhopperwithCheese NA 950 NA 50 61 22 1.5 150 1200 52 NA 11 1 0 1 52
TripleWhopper NA 1140 NA 67 75 27 2 205 1110 51 NA 11 1 0 1 51
A1SteakhouseXT 316 910 540 40 60 23 1 135 1790 42 4 10 1 0 1 42
SteakhouseXT 284 710 410 35 45 17 0 115 1200 40 2 9 1 0 1 40
TENDERGRILLChickenSandwichonciabata 250 470 170 37 18 3.5 0 85 1100 40 2 7 1 0 1 40
TENDERGRILLChickenSandwichwoMayo 236 360 60 37 7 1.5 0 75 1010 40 2 7 1 0 1 40
TENDERCRISPChickenSandwich 284 800 410 32 46 8 0.5 70 1640 68 3 9 1 0 1 68
TENDERCRISPChickenSandwichwoMayo 256 590 200 31 22 4 0 55 1450 68 3 9 1 0 1 68
OriginalChickenSandwich 218 630 350 24 39 7 0.5 65 1390 46 3 4 1 0 1 46
OriginalChickenSandwichwoMayo 190 420 140 24 16 3.5 0 45 1210 46 3 4 1 0 1 46
AmericanOriginalChickenSandwich 271 730 420 29 47 12 1 85 1830 49 3 5 1 0 1 49
OriginalChickenClubSandwich 256 690 390 29 43 9 0.5 75 1590 48 3 5 1 0 1 48
ItalianOriginalChickenSandiwch 246 520 200 32 22 7 0 65 1670 50 3 5 1 0 1 50
SpicyCHICKNCRISPSandwich 136 460 270 13 30 5 0 30 810 34 2 4 1 0 1 34
SpicyCHICKNCRISPSandwichwoMayo 114 300 110 12 12 2.5 0 20 670 35 2 4 1 0 1 35
CHICKENTENDERS4pc 62 180 100 9 11 2 0 30 310 13 0 0 1 0 1 13
CHICKENTENDERS5pc 78 230 120 11 13 2.5 0 35 380 16 0 0 1 0 1 16
CHICKENTENDERS6pc 93 270 140 14 16 3 0 45 460 19 0 0 1 0 1 19
CHICKENTENDERS8pc 123 360 190 18 21 4 0 60 610 25 0 0 1 0 1 25
CHICKENTENDERSSandwich 142 440 250 12 28 4.5 0 35 610 35 1 4 1 0 1 35
KRAFTMacaroniandCheese 113 160 45 7 5 1.5 0 10 340 22 1 5 0 0 1 0
Tacos2 174 330 200 14 23 8 0.5 30 750 18 5 4 1 0 1 18
SpicyChickenBKWrapper 135 360 170 14 19 5 0 30 1010 32 2 0 1 0 1 32
BKCHICKENFRIES6pc 85 250 130 14 15 2.5 0 30 820 16 1 1 1 0 1 16
BKCHICKENFRIES9pc 127 380 200 21 22 4 0 40 1220 24 2 1 1 0 1 24
BKCHICKENFRIES12pc 170 500 260 28 29 5 0 55 1630 32 3 1 1 0 1 32
CountryPorkSandwich 298 810 378 29 42 15 0.0 75 1910 78 4 10 1 0 1 78
BKBIGFISHSandwich 248 640 280 23 31 5 0.5 45 1560 67 3 9 0 0 1 0
BKBIGFISHSandwichwoTartarSauce 219 460 120 23 13 2.5 0 30 1320 64 3 6 0 0 1 0
BKVEGGIEBurger 209 410 150 22 16 2.5 0 5 1030 44 7 8 0 0 1 0
BKVEGGIEBurgerwCheese 221 450 180 24 20 5 0 20 1250 44 7 8 0 0 1 0
BKVEGGIEBurgerwoMayo 198 320 70 22 7 1 0 0 960 43 7 8 0 0 1 0
BKFreshAppleFries 57 25 0 0 0 0 0 0 0 6 1 5 0 0 1 0
MottsHarvestPlusApplesauce 108 50 0 0 0 0 0 0 0 13 1 11 0 0 1 0
OnionRingsvalue 43 150 70 2 8 1.5 0 0 230 17 1 2 0 0 1 0
OnionRingssmall 91 310 150 4 17 3 0 0 490 36 3 4 0 0 1 0
OnionRingsmedium 117 400 190 6 21 3.5 0 0 630 47 4 5 0 0 1 0
OnionRingslarge 142 490 230 7 26 4.5 0 0 770 57 5 7 0 0 1 0
FrenchFriesvalueSalted 74 220 100 2 11 2.5 0 0 340 28 2 0 0 0 1 0
FrenchFriessmallSalted 116 340 160 4 17 3.5 0 0 530 44 4 0 0 0 1 0
